CustomerID,Age,Gender,Income_Level,Health_Conscious_Score,Current_Beverage_Preference,Purchase_Intention,Willingness_To_Pay,Feature_Preference_Taste,Feature_Preference_EnergyBoost,Feature_Preference_Packaging,Feature_Preference_Price,Feature_Preference_Availability,Expected_Repeat_Purchase_Rate,Open_Ended_Feedback,Preferred_Channel,Proximity_to_Store,Channel_Satisfaction,Awareness_Source,Promo_Response,Ad_Recall_Score,Coupon_Usage(%),Brand_Engagement
180,39,Male,High,9,Juices,0,52,3,2,5,4,4,0.89,Convenience of availability is key.,Convenience Store,1.19,2,In-store Promo,Yes,4,79,Medium
181,28,Male,High,2,Energy Drinks,1,84,2,4,4,1,3,0.49,Convenience of availability is key.,Gym,0.5,5,In-store Promo,No,1,71,Low
182,33,Female,High,3,Juices,0,49,1,3,1,1,5,0.55,Convenience of availability is key.,Gym,1.22,2,Online Ads,Yes,4,96,Medium
183,50,Female,Medium,7,Energy Drinks,1,139,5,1,4,4,2,0.84,Great taste but packaging could be improved.,Supermarket,3.61,4,Online Ads,No,1,11,Medium
184,26,Male,Medium,5,Juices,1,48,4,5,2,2,4,0.7,Convenience of availability is key.,Cafe,4.28,2,In-store Promo,No,5,52,High
185,23,Female,Low,2,,0,93,5,5,2,1,1,0.61,I love the idea of a healthy energy drink.,Supermarket,4.15,2,Social Media,Yes,2,74,High
186,33,Female,Medium,3,,0,66,3,1,5,4,4,0.76,Not really interested in energy drinks.,Cafe,1.99,4,In-store Promo,No,5,4,Medium
187,46,Male,Medium,10,,0,73,4,1,4,1,2,0.81,I love the idea of a healthy energy drink.,Cafe,3.34,2,In-store Promo,Yes,5,26,High
188,20,Male,Low,6,Water,1,40,4,5,5,3,3,0.52,Love the natural ingredients.,Gym,1.02,3,Online Ads,No,4,11,High
189,37,Female,Medium,7,Soft Drinks,1,71,1,3,3,5,1,0.53,Too expensive compared to other drinks.,Online Store,1.47,3,Online Ads,No,2,16,High
190,53,Female,Medium,9,,0,128,3,5,2,3,1,0.47,Sounds great! Would definitely try.,Online Store,4.48,2,In-store Promo,No,1,5,High
191,36,Female,Low,1,Energy Drinks,0,132,2,1,5,1,3,0.88,Convenience of availability is key.,Convenience Store,0.07,5,In-store Promo,Yes,1,96,Low
192,43,Female,Low,7,,0,110,1,4,3,2,4,0.69,Not sure if I would switch from my current brand.,Gym,0.43,4,In-store Promo,Yes,3,4,Medium
193,20,Male,Medium,8,Water,1,106,1,2,5,5,5,0.26,Not sure if I would switch from my current brand.,Cafe,1.04,3,Online Ads,Yes,1,56,Low
194,36,Male,Low,3,Energy Drinks,0,123,5,4,4,3,4,0.8,Too expensive compared to other drinks.,Online Store,0.13,5,In-store Promo,Yes,4,27,Low
195,37,Female,High,4,Water,1,59,5,4,4,4,2,0.54,Love the natural ingredients.,Cafe,0.91,2,In-store Promo,Yes,5,77,High
196,49,Male,Medium,10,Energy Drinks,0,133,5,1,4,2,5,0.25,Not sure if I would switch from my current brand.,Online Store,2.92,5,Word of Mouth,Yes,5,68,Medium
197,24,Male,Medium,6,Juices,0,74,1,5,4,3,4,0.58,I love the idea of a healthy energy drink.,Online Store,2.11,1,Social Media,Yes,5,58,High
198,50,Male,Medium,10,Soft Drinks,1,138,2,3,1,4,3,0.49,Price is a concern for students like me.,Online Store,4.46,3,TV,Yes,2,32,High
199,35,Male,High,7,Soft Drinks,1,142,4,4,3,1,2,0.81,Great taste but packaging could be improved.,Gym,4.09,2,Social Media,No,1,61,High
200,18,Male,Medium,4,Water,1,130,5,5,3,4,2,0.34,Needs more flavor options.,Supermarket,1.71,4,Word of Mouth,Yes,4,49,High
201,28,Male,Medium,8,Soft Drinks,1,129,2,3,4,3,2,0.78,Not sure if I would switch from my current brand.,Cafe,1.3,2,TV,Yes,2,18,Low
202,45,Male,Medium,5,Water,0,117,3,4,1,3,5,0.59,Sounds great! Would definitely try.,Gym,1.9,4,In-store Promo,Yes,3,85,Low
203,42,Male,Low,1,Water,1,56,5,3,4,1,1,0.24,Convenience of availability is key.,Gym,2.95,2,Word of Mouth,Yes,4,68,Medium
204,40,Female,High,4,Water,0,57,4,5,1,4,5,0.88,Sounds great! Would definitely try.,Gym,1.34,5,In-store Promo,No,4,65,Low
205,48,Female,Medium,3,Soft Drinks,0,84,3,2,4,4,4,0.56,Not really interested in energy drinks.,Gym,3.12,5,Online Ads,Yes,4,93,Low
206,47,Female,Medium,9,Water,1,132,3,5,2,1,1,0.4,Great taste but packaging could be improved.,Gym,2.05,5,Word of Mouth,No,5,46,Medium
207,52,Female,High,8,Soft Drinks,1,123,4,1,2,4,4,0.53,I love the idea of a healthy energy drink.,Convenience Store,2.76,1,Online Ads,No,4,38,High
208,24,Female,High,1,Water,1,92,5,3,5,1,1,0.8,Love the natural ingredients.,Cafe,2.18,4,Word of Mouth,No,1,67,Medium
209,33,Male,Medium,6,,1,130,1,2,4,2,5,0.41,Great taste but packaging could be improved.,Gym,1.47,5,Word of Mouth,No,4,32,Medium
210,43,Female,High,9,Water,1,121,4,3,3,3,2,0.33,Needs more flavor options.,Cafe,4.74,1,Online Ads,No,5,12,Medium
211,19,Female,Medium,7,Energy Drinks,0,107,4,3,5,2,3,0.29,Price is a concern for students like me.,Convenience Store,3.82,4,TV,No,4,83,Low
212,18,Female,Medium,4,Water,0,104,4,4,2,5,2,0.41,Not sure if I would switch from my current brand.,Convenience Store,0.7,2,Social Media,No,3,53,Low
213,29,Male,Medium,1,Juices,1,40,3,1,4,5,5,0.75,Love the natural ingredients.,Cafe,4.34,1,In-store Promo,Yes,3,6,High
214,22,Male,Medium,2,Water,0,97,2,3,5,5,1,0.53,Love the natural ingredients.,Online Store,2.44,3,Word of Mouth,No,5,78,Medium
215,54,Male,Low,5,Energy Drinks,1,65,1,5,4,1,2,0.36,Not sure if I would switch from my current brand.,Supermarket,4.47,1,In-store Promo,Yes,1,86,High
216,49,Male,High,5,Energy Drinks,1,148,5,5,2,4,5,0.32,Not sure if I would switch from my current brand.,Online Store,4,1,Online Ads,No,1,13,Low
217,26,Female,High,8,Soft Drinks,0,59,5,4,5,2,4,0.43,Not sure if I would switch from my current brand.,Online Store,2.13,4,In-store Promo,Yes,2,86,High
218,52,Female,Low,6,,1,126,2,1,2,2,3,0.86,Not sure if I would switch from my current brand.,Online Store,0.11,2,Online Ads,Yes,5,18,Medium
219,36,Male,High,8,Water,1,49,4,1,1,2,2,0.44,Not sure if I would switch from my current brand.,Gym,1.34,3,In-store Promo,Yes,4,53,Medium
220,33,Other,Low,2,Soft Drinks,0,98,1,5,2,2,1,0.89,Love the natural ingredients.,Convenience Store,2.71,5,Social Media,Yes,5,92,Medium
221,20,Female,Medium,3,,1,114,5,2,4,5,4,0.54,Too expensive compared to other drinks.,Online Store,3.17,5,Social Media,Yes,2,19,High
222,37,Male,Medium,6,Water,1,80,5,4,3,2,5,0.33,Too expensive compared to other drinks.,Convenience Store,1.29,1,Social Media,Yes,5,28,Medium
223,41,Male,Low,10,Juices,0,144,4,4,2,4,3,0.82,Sounds great! Would definitely try.,Cafe,0.7,4,Social Media,Yes,5,23,Medium
224,50,Male,High,3,Water,1,44,2,5,3,5,1,0.52,Too expensive compared to other drinks.,Supermarket,4.17,4,Social Media,Yes,2,81,High
225,41,Male,High,6,Energy Drinks,1,104,1,5,1,2,5,0.7,Needs more flavor options.,Cafe,4.92,5,Social Media,No,1,62,High
226,28,Male,Medium,6,Energy Drinks,0,56,2,2,5,1,5,0.89,Too expensive compared to other drinks.,Cafe,2.63,3,Online Ads,Yes,4,73,Medium
227,25,Male,Low,2,Juices,1,61,2,2,5,3,2,0.24,Love the natural ingredients.,Gym,0.86,2,Word of Mouth,Yes,2,56,High
228,53,Male,Low,7,Soft Drinks,0,137,1,1,3,3,2,0.27,Not sure if I would switch from my current brand.,Supermarket,1.36,3,In-store Promo,No,3,7,Medium
229,37,Male,Medium,2,,1,148,1,4,5,3,1,0.7,Convenience of availability is key.,Cafe,0.09,2,Social Media,Yes,1,89,Low
230,52,Female,High,6,Water,1,80,5,4,2,5,5,0.4,Convenience of availability is key.,Cafe,4.57,5,Online Ads,Yes,3,61,Medium
231,42,Male,Medium,1,Energy Drinks,0,132,5,5,3,2,2,0.33,Needs more flavor options.,Supermarket,0.59,2,Online Ads,No,1,28,High
232,52,Female,Low,3,Soft Drinks,0,107,1,1,4,5,3,0.23,Not really interested in energy drinks.,Supermarket,2.88,4,Online Ads,No,4,73,High
233,42,Male,Medium,2,Juices,1,108,3,4,2,4,3,0.22,Love the natural ingredients.,Cafe,1.37,1,Word of Mouth,Yes,4,16,Medium
234,46,Other,Medium,7,Energy Drinks,1,50,5,1,2,1,5,0.74,I love the idea of a healthy energy drink.,Supermarket,2.77,1,In-store Promo,Yes,5,65,Medium
235,35,Male,Medium,4,Juices,1,95,3,1,2,1,2,0.29,Great taste but packaging could be improved.,Cafe,3.26,5,Word of Mouth,No,3,5,Low
236,35,Male,Low,8,Water,0,90,1,5,4,3,1,0.53,Sounds great! Would definitely try.,Cafe,4.15,4,TV,No,1,57,High
237,19,Other,Medium,6,,1,60,5,1,1,3,1,0.62,I love the idea of a healthy energy drink.,Gym,1.03,3,Online Ads,Yes,4,68,High
238,52,Female,Medium,10,Energy Drinks,1,138,2,2,5,3,1,0.5,Love the natural ingredients.,Online Store,0.05,4,TV,No,2,27,Medium
239,33,Female,High,4,Energy Drinks,1,115,1,2,3,2,3,0.22,Too expensive compared to other drinks.,Cafe,0.68,1,Social Media,Yes,4,61,High
240,53,Male,Medium,5,Water,0,65,4,3,1,4,2,0.75,Not sure if I would switch from my current brand.,Convenience Store,4.5,1,Social Media,Yes,2,40,High
241,50,Male,Medium,9,Soft Drinks,1,58,3,5,3,4,2,0.21,I love the idea of a healthy energy drink.,Online Store,4.37,4,Word of Mouth,Yes,1,68,Medium
242,21,Female,High,7,,1,148,1,3,5,4,3,0.73,Great taste but packaging could be improved.,Online Store,2.99,4,In-store Promo,No,4,81,Low
243,50,Other,Low,10,Energy Drinks,0,99,1,2,4,4,1,0.83,Not really interested in energy drinks.,Online Store,3,1,TV,Yes,4,89,Medium
244,31,Female,High,9,,1,110,5,3,2,3,1,0.5,Convenience of availability is key.,Gym,3.33,3,In-store Promo,No,1,83,Medium
245,38,Female,Medium,7,Energy Drinks,0,86,5,5,2,1,5,0.57,Not really interested in energy drinks.,Cafe,0.88,5,Word of Mouth,Yes,4,40,Medium
246,37,Male,Low,1,,1,110,5,5,4,3,4,0.53,Great taste but packaging could be improved.,Gym,4.57,5,Social Media,Yes,2,48,Medium
247,25,Female,Medium,8,Juices,1,65,4,1,1,4,2,0.47,Not sure if I would switch from my current brand.,Cafe,2.09,4,In-store Promo,Yes,4,90,High
248,24,Male,Medium,4,Energy Drinks,0,79,5,4,1,3,2,0.82,Too expensive compared to other drinks.,Gym,1.92,5,In-store Promo,No,3,48,Low
249,20,Male,Low,3,,1,44,1,1,3,4,2,0.83,Great taste but packaging could be improved.,Gym,2.59,1,Social Media,Yes,5,75,Medium
250,34,Male,Medium,7,Soft Drinks,1,60,5,5,4,5,4,0.44,Sounds great! Would definitely try.,Convenience Store,0.23,1,TV,Yes,2,70,Medium
251,50,Female,Medium,3,Juices,0,117,2,2,1,1,5,0.63,Great taste but packaging could be improved.,Gym,0.83,4,Social Media,No,3,2,Medium
252,29,Male,Medium,8,Juices,1,43,5,2,4,5,4,0.85,Love the natural ingredients.,Supermarket,3.69,4,In-store Promo,Yes,1,9,Medium
253,39,Male,Low,6,Soft Drinks,1,62,4,1,5,2,1,0.87,Too expensive compared to other drinks.,Convenience Store,0.41,4,TV,No,2,97,Low
254,39,Female,High,5,,1,145,2,5,2,3,1,0.56,Not sure if I would switch from my current brand.,Gym,3.02,3,TV,Yes,5,88,Low
255,47,Male,High,4,Water,0,123,1,2,2,2,2,0.52,Convenience of availability is key.,Online Store,1.23,5,Social Media,No,5,34,Medium
256,25,Female,High,8,Soft Drinks,1,54,1,5,2,3,3,0.4,Convenience of availability is key.,Supermarket,1.95,4,In-store Promo,Yes,1,79,Medium
257,44,Male,Medium,8,,1,148,3,2,4,5,2,0.87,Great taste but packaging could be improved.,Supermarket,1.44,2,Word of Mouth,No,1,1,Low
258,44,Female,Low,1,Soft Drinks,0,132,2,5,4,4,3,0.3,Love the natural ingredients.,Supermarket,1.78,2,In-store Promo,Yes,2,23,High
259,51,Female,Medium,9,Soft Drinks,1,47,3,3,3,4,4,0.61,I love the idea of a healthy energy drink.,Convenience Store,3.6,1,Online Ads,Yes,4,73,Medium
260,38,Male,Low,5,Energy Drinks,1,80,2,5,2,3,1,0.4,Not really interested in energy drinks.,Gym,1.49,5,Word of Mouth,Yes,1,37,Medium
261,47,Male,Low,4,,1,58,2,5,3,4,3,0.4,Not really interested in energy drinks.,Gym,2.83,4,TV,Yes,4,21,High
262,50,Male,Medium,6,Water,1,142,4,1,2,5,4,0.48,Not really interested in energy drinks.,Online Store,2.38,2,Word of Mouth,Yes,3,25,Low
263,45,Male,Medium,6,Energy Drinks,1,85,3,3,3,4,1,0.9,I love the idea of a healthy energy drink.,Online Store,3.32,5,TV,No,5,42,Low
264,50,Other,Medium,2,Soft Drinks,1,67,4,4,3,5,3,0.24,Love the natural ingredients.,Supermarket,4.68,1,TV,Yes,4,54,High
265,22,Male,Medium,8,Soft Drinks,0,149,2,1,5,2,2,0.6,Not really interested in energy drinks.,Online Store,3.66,3,Word of Mouth,No,5,38,Medium
266,36,Female,Medium,7,Soft Drinks,1,130,1,4,3,5,2,0.26,Sounds great! Would definitely try.,Convenience Store,1.07,5,TV,No,4,90,Medium
267,21,Male,Low,1,,1,107,2,2,4,1,2,0.31,I love the idea of a healthy energy drink.,Gym,0.16,5,TV,No,3,28,High
268,52,Female,High,5,,1,54,4,4,3,1,4,0.51,I love the idea of a healthy energy drink.,Supermarket,1.31,3,Online Ads,Yes,1,19,High
269,34,Female,Medium,6,Energy Drinks,1,138,3,5,2,1,2,0.56,Not sure if I would switch from my current brand.,Online Store,2.98,5,In-store Promo,Yes,3,90,High
270,45,Female,Medium,4,Water,1,76,3,4,3,3,5,0.38,Not sure if I would switch from my current brand.,Convenience Store,0.26,1,In-store Promo,No,1,40,Medium
271,47,Female,Low,2,Energy Drinks,1,40,4,1,1,3,1,0.42,Too expensive compared to other drinks.,Convenience Store,2.48,1,Online Ads,No,1,53,Medium
272,46,Male,Medium,4,Juices,1,106,3,1,2,3,4,0.26,Sounds great! Would definitely try.,Online Store,2.98,3,Word of Mouth,Yes,5,19,Medium
273,23,Male,Medium,1,Soft Drinks,1,150,5,4,1,5,2,0.41,Sounds great! Would definitely try.,Gym,1.67,4,Social Media,Yes,3,18,Low
274,52,Other,Low,7,Soft Drinks,1,63,1,1,2,3,1,0.88,Too expensive compared to other drinks.,Online Store,3.85,2,Social Media,Yes,4,83,Medium
275,54,Female,Low,2,Soft Drinks,0,66,1,1,4,2,3,0.86,Sounds great! Would definitely try.,Supermarket,0.53,4,Social Media,No,3,98,Low
276,41,Other,Medium,2,Energy Drinks,0,79,1,4,4,1,2,0.43,Needs more flavor options.,Online Store,0.38,5,Online Ads,Yes,5,65,High
277,46,Male,Medium,9,Energy Drinks,1,102,3,3,4,5,1,0.6,Price is a concern for students like me.,Convenience Store,3.64,2,Online Ads,Yes,1,29,Medium
278,48,Female,Low,5,Soft Drinks,0,100,3,3,1,1,5,0.84,Not really interested in energy drinks.,Online Store,2.48,3,TV,No,5,52,Medium
279,52,Other,High,2,Energy Drinks,0,75,2,2,5,3,3,0.2,Not sure if I would switch from my current brand.,Gym,3.44,3,Social Media,Yes,2,33,Medium
280,50,Male,Low,9,,0,137,2,1,2,5,5,0.77,Too expensive compared to other drinks.,Cafe,2.17,2,Word of Mouth,Yes,2,21,Low
281,38,Male,Medium,9,,0,132,1,4,4,4,1,0.86,Too expensive compared to other drinks.,Online Store,1.23,1,Word of Mouth,No,4,66,Low
282,49,Female,High,1,Energy Drinks,0,63,5,1,2,2,5,0.26,Sounds great! Would definitely try.,Gym,4.1,2,Social Media,No,5,5,Medium
283,40,Female,Medium,3,Soft Drinks,1,63,2,5,1,3,1,0.31,I love the idea of a healthy energy drink.,Gym,4,5,Social Media,Yes,4,78,Low
284,50,Female,Medium,4,Energy Drinks,0,145,2,1,5,3,1,0.87,Convenience of availability is key.,Convenience Store,3.47,1,Social Media,Yes,4,26,Medium
285,20,Male,Medium,7,Energy Drinks,1,43,3,1,1,2,5,0.58,Great taste but packaging could be improved.,Gym,1.36,3,Online Ads,Yes,2,9,High
286,35,Female,Low,10,Energy Drinks,1,106,5,3,2,2,1,0.21,Great taste but packaging could be improved.,Gym,2.95,2,Online Ads,Yes,4,72,High
287,42,Male,High,4,Juices,1,73,1,4,5,4,2,0.38,Too expensive compared to other drinks.,Gym,1.8,4,Online Ads,No,2,96,Medium
288,48,Male,Medium,2,,0,96,2,1,5,3,1,0.51,Not really interested in energy drinks.,Gym,0.46,4,In-store Promo,Yes,1,95,Low
289,20,Male,High,7,Water,1,88,5,3,1,3,4,0.69,Needs more flavor options.,Supermarket,4.59,5,Word of Mouth,Yes,5,47,High
290,41,Female,Low,6,Water,1,126,5,2,4,1,1,0.71,Not really interested in energy drinks.,Supermarket,0.68,4,Word of Mouth,Yes,4,69,High
291,49,Female,Low,3,Juices,1,92,1,3,2,5,4,0.9,Too expensive compared to other drinks.,Convenience Store,4.75,2,TV,Yes,2,58,Low
292,39,Female,Low,6,Energy Drinks,1,62,5,3,3,5,1,0.4,Not really interested in energy drinks.,Online Store,2.23,2,Online Ads,Yes,3,99,High
293,40,Male,Medium,6,Juices,1,148,5,3,3,1,1,0.58,Not sure if I would switch from my current brand.,Gym,0.93,4,In-store Promo,No,4,58,Low
294,19,Female,Medium,5,Juices,0,108,5,1,1,5,5,0.57,Not really interested in energy drinks.,Online Store,2.71,2,In-store Promo,Yes,1,1,High
295,44,Male,High,4,Soft Drinks,1,134,2,1,2,2,2,0.48,Sounds great! Would definitely try.,Online Store,4.36,5,Word of Mouth,No,1,28,High
296,19,Female,Medium,10,,1,92,1,2,2,5,2,0.32,Sounds great! Would definitely try.,Convenience Store,3.66,1,Online Ads,No,3,67,Low
297,43,Male,High,1,Water,1,101,5,5,1,5,3,0.88,Needs more flavor options.,Gym,4.03,5,TV,Yes,2,64,High
298,34,Male,Low,10,Energy Drinks,1,80,5,5,2,1,5,0.8,Not sure if I would switch from my current brand.,Gym,3.29,5,Online Ads,Yes,4,82,Medium
299,50,Female,High,6,Water,0,96,2,5,4,4,5,0.55,Convenience of availability is key.,Cafe,3.46,2,Social Media,Yes,2,25,High
300,26,Male,Medium,2,Water,1,99,1,2,1,5,2,0.62,I love the idea of a healthy energy drink.,Online Store,4.25,1,Online Ads,Yes,1,88,Medium
301,46,Female,Medium,3,,0,93,3,5,4,5,5,0.36,Not sure if I would switch from my current brand.,Online Store,1.25,2,Social Media,Yes,2,9,High
302,43,Female,High,8,Water,0,109,2,5,2,4,2,0.58,Love the natural ingredients.,Supermarket,2.45,3,Social Media,Yes,1,52,Low
303,52,Male,Medium,10,Water,0,140,1,3,1,1,5,0.69,Price is a concern for students like me.,Cafe,1.11,2,TV,Yes,2,78,Medium
304,42,Female,Medium,6,Juices,0,96,5,1,2,4,1,0.56,Too expensive compared to other drinks.,Supermarket,4.94,2,Word of Mouth,No,3,58,Low
305,41,Male,Low,3,,1,49,1,1,1,1,2,0.89,Love the natural ingredients.,Supermarket,4.72,2,Online Ads,Yes,5,21,High
306,30,Female,Low,7,Soft Drinks,0,79,1,3,2,2,2,0.63,Needs more flavor options.,Supermarket,0.2,1,Social Media,No,3,50,High
307,24,Other,High,4,Energy Drinks,0,46,1,3,4,1,4,0.46,Love the natural ingredients.,Convenience Store,3.53,2,Online Ads,Yes,3,47,High
308,53,Female,Medium,9,Water,1,142,3,3,4,2,5,0.74,Sounds great! Would definitely try.,Convenience Store,4.63,1,Word of Mouth,No,5,20,High
309,37,Male,Medium,5,Energy Drinks,1,77,1,1,2,2,5,0.32,Not really interested in energy drinks.,Supermarket,0.9,4,Word of Mouth,Yes,5,21,Low
310,18,Other,Medium,3,Soft Drinks,1,124,3,5,1,1,2,0.47,I love the idea of a healthy energy drink.,Cafe,2.84,3,In-store Promo,Yes,4,99,Medium
311,25,Female,Low,2,Energy Drinks,1,100,5,3,3,3,1,0.44,Great taste but packaging could be improved.,Online Store,4.58,1,Word of Mouth,No,4,97,Low
312,33,Male,Low,2,Soft Drinks,1,123,3,2,4,1,1,0.5,Too expensive compared to other drinks.,Cafe,0.17,4,TV,Yes,3,29,Low
313,31,Male,Medium,3,Juices,0,42,5,3,4,5,1,0.75,Great taste but packaging could be improved.,Gym,3.49,1,Social Media,Yes,3,24,Low
314,29,Female,Medium,2,Water,0,90,5,4,3,5,5,0.54,Not really interested in energy drinks.,Convenience Store,1.49,1,In-store Promo,No,1,27,Medium
315,40,Female,Low,4,Soft Drinks,1,125,3,3,2,3,4,0.76,Sounds great! Would definitely try.,Online Store,4.62,3,TV,Yes,1,64,Low
316,32,Female,Medium,2,Energy Drinks,0,86,2,1,1,2,2,0.6,Sounds great! Would definitely try.,Online Store,4.86,5,Online Ads,Yes,4,44,Low
317,45,Female,Low,10,Water,1,107,4,3,2,3,3,0.44,Not really interested in energy drinks.,Gym,4.72,5,Social Media,No,4,67,Low
318,51,Female,Medium,9,Juices,0,131,1,4,5,5,4,0.77,Too expensive compared to other drinks.,Gym,2.37,1,Word of Mouth,No,1,6,Low
319,19,Male,Low,2,Water,0,115,4,2,4,3,3,0.37,Great taste but packaging could be improved.,Supermarket,4.31,2,Social Media,No,1,48,High
320,49,Male,Medium,9,Soft Drinks,1,77,1,5,5,1,4,0.36,Not sure if I would switch from my current brand.,Convenience Store,4.22,4,Online Ads,Yes,2,8,High
321,40,Male,Medium,6,Juices,1,75,1,3,4,3,1,0.55,Sounds great! Would definitely try.,Convenience Store,1.6,2,In-store Promo,No,2,35,High
322,39,Female,Medium,1,Energy Drinks,1,150,5,4,4,2,5,0.38,Great taste but packaging could be improved.,Cafe,4.14,2,In-store Promo,Yes,1,82,Medium
323,42,Male,Low,4,Juices,1,80,1,4,5,1,3,0.21,Convenience of availability is key.,Supermarket,0.19,1,In-store Promo,No,2,0,Low
324,39,Female,Low,1,Juices,0,108,1,2,5,4,4,0.65,Great taste but packaging could be improved.,Supermarket,2.98,1,Word of Mouth,No,5,9,High
325,39,Female,Medium,6,,0,52,3,1,2,5,5,0.56,Convenience of availability is key.,Supermarket,1.15,1,TV,No,4,35,Medium
326,23,Female,Medium,4,Juices,1,126,4,3,5,5,3,0.51,Convenience of availability is key.,Supermarket,0.6,1,TV,No,4,72,Low
327,32,Male,Medium,3,Juices,1,97,3,4,2,3,2,0.88,Sounds great! Would definitely try.,Convenience Store,0.38,5,Social Media,Yes,1,45,Low
328,54,Female,Low,3,Water,0,89,1,2,2,1,4,0.6,Too expensive compared to other drinks.,Convenience Store,3.48,1,Word of Mouth,No,3,31,Low
329,50,Male,Medium,9,Energy Drinks,1,69,5,5,2,4,2,0.8,Needs more flavor options.,Supermarket,1.7,5,In-store Promo,No,1,31,Low
330,25,Female,High,6,Water,0,101,3,4,4,1,1,0.3,Sounds great! Would definitely try.,Cafe,3.62,5,In-store Promo,Yes,2,5,Medium
331,22,Male,Medium,9,Water,1,140,3,2,4,5,2,0.6,Too expensive compared to other drinks.,Online Store,0.33,1,Online Ads,No,3,47,Medium
332,21,Male,Low,5,Soft Drinks,0,64,2,1,5,1,2,0.81,Too expensive compared to other drinks.,Online Store,1.58,3,Online Ads,Yes,2,37,Low
333,23,Female,Medium,2,Water,1,66,1,1,4,4,4,0.61,Love the natural ingredients.,Cafe,2.7,4,In-store Promo,No,5,16,Low
334,49,Male,Low,8,,1,90,5,4,5,3,1,0.7,Not really interested in energy drinks.,Supermarket,3.95,2,In-store Promo,No,2,73,High
335,47,Male,Low,5,,0,117,3,4,4,2,2,0.46,Not really interested in energy drinks.,Convenience Store,1.59,5,Word of Mouth,No,5,26,Low
336,52,Female,High,2,Soft Drinks,1,96,3,3,1,1,5,0.26,Not really interested in energy drinks.,Online Store,3.13,4,TV,Yes,5,53,Medium
337,33,Female,Low,4,Energy Drinks,1,86,5,2,1,2,3,0.52,Price is a concern for students like me.,Gym,4.43,3,Online Ads,Yes,2,49,High
338,30,Female,Medium,9,Energy Drinks,0,139,1,4,5,5,2,0.48,Sounds great! Would definitely try.,Gym,3.08,2,TV,Yes,2,34,Low
339,47,Female,Medium,4,Water,0,78,2,3,4,3,1,0.81,Too expensive compared to other drinks.,Cafe,1.16,2,Word of Mouth,No,5,84,Low
340,36,Female,Medium,4,Water,0,55,3,3,4,3,2,0.37,Love the natural ingredients.,Supermarket,0.12,5,In-store Promo,Yes,3,24,Medium
341,34,Male,Medium,2,Water,0,61,2,4,2,1,3,0.88,Convenience of availability is key.,Online Store,4.35,1,TV,Yes,5,27,Medium
342,36,Male,Low,6,Energy Drinks,1,124,4,1,3,3,1,0.87,Needs more flavor options.,Supermarket,0.11,3,In-store Promo,No,4,14,Medium
343,45,Male,Medium,2,Juices,1,93,1,2,5,1,4,0.37,Needs more flavor options.,Online Store,4.37,5,In-store Promo,Yes,5,3,High
344,43,Other,Medium,7,,1,60,4,2,3,1,1,0.44,Convenience of availability is key.,Cafe,2.64,3,Social Media,No,3,92,Low
345,54,Female,Low,3,Juices,0,111,4,1,3,2,4,0.83,Great taste but packaging could be improved.,Cafe,4.7,1,TV,No,4,72,Medium
346,43,Male,Medium,3,Juices,0,55,4,4,5,3,1,0.88,Great taste but packaging could be improved.,Gym,3.99,1,TV,No,1,26,Medium
347,40,Female,Low,5,Energy Drinks,0,98,1,2,4,1,3,0.51,Not really interested in energy drinks.,Supermarket,4.99,5,In-store Promo,Yes,1,25,Low
348,26,Other,Low,3,Juices,1,70,1,4,5,2,3,0.42,Sounds great! Would definitely try.,Gym,1.75,1,Word of Mouth,Yes,3,18,Medium
349,29,Male,Medium,2,Soft Drinks,1,81,5,4,3,4,1,0.57,Price is a concern for students like me.,Supermarket,3.84,4,Social Media,Yes,5,91,Low
350,18,Female,Low,10,Water,0,113,2,3,4,2,2,0.68,Love the natural ingredients.,Gym,2.01,2,In-store Promo,Yes,2,16,Medium
351,18,Female,Medium,9,Soft Drinks,1,71,2,1,1,2,3,0.39,Needs more flavor options.,Convenience Store,2.4,5,Online Ads,Yes,3,42,Low
352,51,Female,Medium,2,,1,98,5,4,5,1,4,0.72,Not really interested in energy drinks.,Convenience Store,3.14,3,Online Ads,Yes,4,40,Medium
353,49,Male,High,2,Water,1,73,5,5,5,5,4,0.24,I love the idea of a healthy energy drink.,Convenience Store,4.37,4,Social Media,No,4,41,Medium
354,42,Female,Low,8,Juices,1,48,4,1,4,5,5,0.23,Not really interested in energy drinks.,Convenience Store,4.92,5,Word of Mouth,No,1,49,High
355,18,Other,Low,9,,1,120,5,2,1,5,4,0.47,I love the idea of a healthy energy drink.,Online Store,3.84,1,In-store Promo,Yes,4,83,Low
356,33,Female,Low,7,Water,1,50,3,3,1,2,5,0.45,Not sure if I would switch from my current brand.,Convenience Store,2.09,1,TV,No,3,39,Medium
357,22,Female,Medium,3,Juices,1,135,2,2,4,1,1,0.42,Too expensive compared to other drinks.,Cafe,2.11,1,Social Media,No,4,38,Medium
358,39,Other,Medium,9,Soft Drinks,1,49,5,2,2,3,1,0.54,Convenience of availability is key.,Cafe,3.69,1,Word of Mouth,No,3,22,High
359,46,Female,Low,3,Water,0,125,3,1,5,2,1,0.42,Too expensive compared to other drinks.,Online Store,1.19,3,TV,No,2,95,Medium
360,20,Male,High,5,Juices,0,56,3,2,5,2,2,0.33,Not really interested in energy drinks.,Convenience Store,0.55,4,Online Ads,Yes,1,51,Medium
